Togowo simnil ŋinakirtin	Пожарные собаки (быль)
	
Hadildun gorodildu ӡul ӡəgdəlləktin, dordutin kuŋakar əmə̄nmuwkil.	Бывает часто, что в городах на пожарах остаются дети в домах
Kuŋakar, ŋə̄ləliksəl, simulanal, dikəncəwkil, tarit nuŋarwatin əŋi juwrə biwki.	и их нельзя вытащить, потому что они от испуга спрячутся и молчат,
Saŋņandu nuŋartin əwkil icəwrə.	а от дыма нельзя их рассмотреть.
Tar ӡarin Londondu ŋinakir tatigawcal.	Для этого в Лондоне приучены собаки.
Taril ŋinakir togowo simnilnun biӡəwkil.	Собаки эти живут с пожарными,
Ӡu ӡəgdəlləkin, togowo simnil ŋinakina uŋiwkil, kuŋakarwə juwdə̄n.	и когда загорится дом, то пожарные посылают собак вытаскивать детей.
Umukə̄n targacin ŋinakin Londondu ӡan-ӡurwə kuŋakarwə juwcə̄n (bədunəcə̄n).	Одна такая собака в Лондоне спасла двенадцать детей;
Gərbinin Bob bicə̄n.	её звали Боб.
	
Umnə̄kə̄n ӡu ӡəgdəllən.	Один раз загорелся дом.
Togowo simnil əmərəktin, arcaptiki asi tuksaran.	И когда пожарные приехали к дому, к ним выбежала женщина.
Soŋoӡono, nuŋan gunӡəcə̄n ӡudun ӡuci hutən əmə̄nmucə̄wə̄n.	Она плакала и говорила, что в доме осталась двухлетняя девочка.
Togowo simnil Bobwa uŋnə.	Пожарные послали Боба.
Bob tuktiwunduli ugiski huktillən, saŋņandu sokoriwran (hallən).	Боб побежал по лестнице и скрылся в дыме.
Tunŋali minutalduli nuŋan ӡuduk jurən.	Через пять минут он выбежал из дома
Nuŋan kuŋakanmə lawadaӡacan.	и в зубах за рубашонку нёс девочку.
Awgarawə hutəwi icəksə, urunduk soŋoӡono, əninin hutələ̄wi tuksamalcaran.	Мать бросилась к дочери и плакала от радости, что дочь была жива.
Togowo simnil ŋinakinma bultera, icəttə iŋaktan əcən badargara.	Пожарные ласкали собаку и осматривали её — не обгорела ли она;
Bob ӡutki huktissəӡəcə̄n.	но Боб рвался опять в дом.
Togowo simnil, ӡalilduwar gunnəl, ӡudun ŋi-wəl inӡəri bisiwə̄n, ŋinakinma tinə.	Пожарные подумали, что в доме есть ещё что-нибудь живое, и пустили его.
Ŋinakin ӡutki huktirən, amakan, ewa-mal lawadaӡana, ӡuduk juməlcərən.	Собака побежала в дом и скоро выбежала с чем-то в зубах.
Iləl, lawadanawan icətnəl, iņəktəllə̄ nuŋan kuŋakanŋacinmə əwiwunmə əməwrən.	Когда народ рассмотрел то, что она несла, то все расхохотались: она несла большую куклу.